2026-04-01_11:56:41:896 Com Port Connected : True
2026-04-01_11:56:41:898 <-FW] ESP-ROM:esp32s3-20210327
2026-04-01_11:56:41:901 <-FW] load:0x3fce3808,len:0x4bc
2026-04-01_11:56:41:904 <-FW] load:0x403c9700,len:0xbd8
2026-04-01_11:56:41:905 <-FW] load:0x403cc700,len:0x2a0c
2026-04-01_11:56:41:912 <-FW] entry 0x403c98d0
2026-04-01_11:56:42:026 AP->] $290101%
2026-04-01_11:56:42:207 AP->] $1101%
2026-04-01_11:56:42:464 AP->] $10DFTM_V0.3.4.00_MFS%
2026-04-01_11:56:42:963 AP->] $0112%
2026-04-01_11:56:42:979 AP->] $0110%
2026-04-01_11:56:42:984 AP->] $1501%
2026-04-01_11:56:43:354 <-FW] 1458 $2211%
2026-04-01_11:56:43:356 <-FW] 1460 $010225%
2026-04-01_11:56:43:359 <-FW] 1463 $00%
2026-04-01_11:56:43:361 <-FW] 1463 $2000%
2026-04-01_11:56:43:362 <-FW] 1465 $2100%
2026-04-01_11:56:43:363 <-FW] 1466 $12-1%
2026-04-01_11:56:43:364 <-FW] 1467 $0101001%
2026-04-01_11:56:43:365 <-FW] 1468 $010225%
2026-04-01_11:56:43:367 <-FW] 1470 $10Tm1.1.0.1E1,Vs99.99.99,Vi99.99.99%
2026-04-01_11:56:43:367 <-FW] 1471 $00%
2026-04-01_11:56:43:368 <-FW] 1472 $2001%
2026-04-01_11:56:43:369 <-FW] 1473 $2100%
2026-04-01_11:56:43:370 <-FW] 1474 $12-1%
2026-04-01_11:56:43:371 <-FW] 1474 $12-3%
2026-04-01_11:56:43:372 <-FW] 1476 $0101001%
2026-04-01_11:56:43:373 <-FW] 1477 $010225%
2026-04-01_11:56:43:374 <-FW] 1478 $0112MBD_V10%
2026-04-01_11:56:43:406 <-FW] 1510 $1800%
2026-04-01_11:56:43:417 <-FW] 1521 $011020%
2026-04-01_11:56:43:418 <-FW] 1522 $011020%
2026-04-01_11:56:43:420 <-FW] 1522 $0113255%
2026-04-01_11:56:43:506 <-FW] 1610 $2101%
2026-04-01_11:56:43:606 <-FW] 1711 $1299%
2026-04-01_11:56:43:663 <-FW] 1768 $00%
2026-04-01_11:56:43:707 <-FW] 1811 $0101001%
2026-04-01_11:56:43:774 <-FW] 1878 $896010NG,Err:0,Cnt:0(0,0,0),ms:302, Enc:286,286,0,Duty:0
2026-04-01_11:56:43:774 <-FW] 1879 $156010%
2026-04-01_11:56:43:905 <-FW] 2011 $1800%
2026-04-01_11:56:44:355 <-FW] 2459 $2001%
2026-04-01_11:56:44:356 <-FW] 2460 $1299%
2026-04-01_11:56:44:358 <-FW] 2461 $12-3%
2026-04-01_11:56:44:358 <-FW] 2461 $1299%
2026-04-01_11:56:44:359 <-FW] 2463 $2101%
2026-04-01_11:56:44:416 <-FW] 2521 $1800%
2026-04-01_11:56:44:926 <-FW] 3031 $1800%
2026-04-01_11:56:44:965 <-FW] 3070 $00%
2026-04-01_11:56:45:436 <-FW] 3541 $1800%
2026-04-01_11:56:45:946 <-FW] 4051 $1800%
2026-04-01_11:56:46:457 <-FW] 4561 $1800%
2026-04-01_11:56:46:965 <-FW] 5070 $00%
2026-04-01_11:56:46:966 <-FW] 5071 $1800%
2026-04-01_11:56:47:476 <-FW] 5581 $1800%
2026-04-01_11:56:47:986 <-FW] 6091 $1800%
2026-04-01_11:56:48:497 <-FW] 6601 $1800%
2026-04-01_11:56:48:965 <-FW] 7070 $00%
2026-04-01_11:56:49:006 <-FW] 7111 $1800%
2026-04-01_11:56:49:517 <-FW] 7621 $1800%
2026-04-01_11:56:50:026 <-FW] 8131 $1800%
2026-04-01_11:56:50:536 <-FW] 8641 $1800%
2026-04-01_11:56:50:964 <-FW] 9069 $00%
2026-04-01_11:56:51:046 <-FW] 9151 $1800%
2026-04-01_11:56:51:556 <-FW] 9661 $1800%
2026-04-01_11:56:52:067 <-FW] 10171 $1800%
2026-04-01_11:56:52:576 <-FW] 10681 $1800%
2026-04-01_11:56:52:965 <-FW] 11070 $00%
2026-04-01_11:56:53:086 <-FW] 11191 $1800%
2026-04-01_11:56:53:597 <-FW] 11701 $1800%
2026-04-01_11:56:54:106 <-FW] 12211 $1800%
2026-04-01_11:56:54:616 <-FW] 12721 $1800%
2026-04-01_11:56:54:965 <-FW] 13070 $00%
2026-04-01_11:56:55:126 <-FW] 13231 $1800%
2026-04-01_11:56:55:636 <-FW] 13741 $1800%
2026-04-01_11:56:56:146 <-FW] 14251 $1800%
2026-04-01_11:56:56:657 <-FW] 14761 $1800%
2026-04-01_11:56:56:966 <-FW] 15070 $00%
2026-04-01_11:56:57:166 <-FW] 15271 $1800%
2026-04-01_11:56:57:677 <-FW] 15781 $1800%
2026-04-01_11:56:58:186 <-FW] 16291 $1800%
2026-04-01_11:56:58:696 <-FW] 16801 $1800%
2026-04-01_11:56:58:966 <-FW] 17071 $00%
2026-04-01_11:56:59:206 <-FW] 17311 $1800%
2026-04-01_11:56:59:716 <-FW] 17821 $1800%
2026-04-01_11:57:00:226 <-FW] 18331 $1800%
2026-04-01_11:57:00:736 <-FW] 18841 $1800%
2026-04-01_11:57:00:965 <-FW] 19070 $00%
2026-04-01_11:57:01:246 <-FW] 19351 $1800%
2026-04-01_11:57:01:757 <-FW] 19861 $1800%
2026-04-01_11:57:02:267 <-FW] 20371 $1800%
2026-04-01_11:57:02:776 <-FW] 20881 $1800%
2026-04-01_11:57:03:018 <-FW] 21123 $00%
2026-04-01_11:57:03:286 <-FW] 21391 $1800%
2026-04-01_11:57:03:797 <-FW] 21901 $1800%
2026-04-01_11:57:04:307 <-FW] 22411 $1800%
2026-04-01_11:57:04:816 <-FW] 22921 $1800%
2026-04-01_11:57:04:969 <-FW] 23074 $00%
2026-04-01_11:57:05:326 <-FW] 23431 $1800%
2026-04-01_11:57:05:837 <-FW] 23941 $1800%
2026-04-01_11:57:06:347 <-FW] 24451 $1800%
2026-04-01_11:57:06:856 <-FW] 24961 $1800%
2026-04-01_11:57:06:964 <-FW] 25068 $00%
2026-04-01_11:57:07:366 <-FW] 25471 $1800%
2026-04-01_11:57:07:876 <-FW] 25981 $1800%
2026-04-01_11:57:08:386 <-FW] 26491 $1800%
2026-04-01_11:57:08:896 <-FW] 27001 $1800%
2026-04-01_11:57:08:964 <-FW] 27069 $00%
2026-04-01_11:57:09:407 <-FW] 27511 $1800%
2026-04-01_11:57:09:917 <-FW] 28021 $1800%
2026-04-01_11:57:10:427 <-FW] 28531 $1800%
2026-04-01_11:57:10:936 <-FW] 29041 $1800%
2026-04-01_11:57:10:964 <-FW] 29069 $00%
2026-04-01_11:57:11:447 <-FW] 29551 $1800%
2026-04-01_11:57:11:956 <-FW] 30061 $1800%
2026-04-01_11:57:12:466 <-FW] 30571 $1800%
2026-04-01_11:57:12:965 <-FW] 31070 $00%
