2026-04-03_12:52:03:412 <-FW] 
 Connected : True
2026-04-03_12:52:03:416 <-FW] load:0x3fce3808,len:0x4bc
2026-04-03_12:52:03:421 <-FW] load:0x403c9700,len:0xbd8
2026-04-03_12:52:03:423 <-FW] load:0x403cc700,len:0x2a0c
2026-04-03_12:52:03:427 <-FW] entry 0x403c98d0
2026-04-03_12:52:03:788 AP->] $290101%
2026-04-03_12:52:03:815 AP->] $1101%
2026-04-03_12:52:04:289 AP->] $10DFTM_V0.3.4.00_MFS%
2026-04-03_12:52:04:788 AP->] $0112%
2026-04-03_12:52:04:810 AP->] $0110%
2026-04-03_12:52:04:826 AP->] $1501%
2026-04-03_12:52:10:427 <-FW] $2211%
2026-04-03_12:52:11:932 <-FW] $2000%
2026-04-03_12:52:11:933 <-FW] $010225%
2026-04-03_12:52:11:935 <-FW] $2100%
2026-04-03_12:52:11:937 <-FW] $1391%
2026-04-03_12:52:11:938 <-FW] $12-1%
2026-04-03_12:52:11:939 <-FW] $0101001%
2026-04-03_12:52:11:940 <-FW] $010225%
2026-04-03_12:52:11:941 <-FW] $10Tm1.1.0.1E0,Vs99.99.99,Vi99.99.99%
2026-04-03_12:52:11:943 <-FW] $2000%
2026-04-03_12:52:11:944 <-FW] $2100%
2026-04-03_12:52:11:946 <-FW] $12-1%
2026-04-03_12:52:11:946 <-FW] $0101001%
2026-04-03_12:52:11:947 <-FW] $010225%
2026-04-03_12:52:11:948 <-FW] $0112MBD_V10%
2026-04-03_12:52:11:987 <-FW] $011010%
2026-04-03_12:52:11:989 <-FW] $011010%
2026-04-03_12:52:11:989 <-FW] $0113255%
2026-04-03_12:52:12:058 <-FW] $2101%
2026-04-03_12:52:12:159 <-FW] $1200%
2026-04-03_12:52:12:160 <-FW] $157020%
2026-04-03_12:52:12:258 <-FW] $0101001%
2026-04-03_12:52:12:346 <-FW] $896010NG,Err:0,Cnt:0(0,0,0),ms:303, Enc:286,286,0,Duty:0
2026-04-03_12:52:12:347 <-FW] $156010%
2026-04-03_12:52:12:933 <-FW] $2001%
2026-04-03_12:52:12:934 <-FW] $1200%
2026-04-03_12:52:12:935 <-FW] $12-3%
2026-04-03_12:52:12:936 <-FW] $1200%
2026-04-03_12:52:12:937 <-FW] $2101%
2026-04-03_12:52:13:025 AP->] $10DFTM_V0.3.4.00_MFS%
2026-04-03_12:52:13:072 <-FW] $10Tm1.1.0.1E0,Tr1.0.1.4,<imu9dofv530a>%
2026-04-03_12:52:15:583 AP->] $10%
2026-04-03_12:52:17:628 AP->] $10%
2026-04-03_12:52:42:102 AP->] $10%
2026-04-03_12:52:52:244 <-FW] $1311%
2026-04-03_12:52:52:962 <-FW] $1310%
2026-04-03_12:52:53:101 <-FW] $1311%
2026-04-03_12:52:53:204 <-FW] $1310%
2026-04-03_12:52:53:325 <-FW] $1311%
